Attrition,Business Travel,CF_age band,CF_attrition label,Department,Education Field,Employee Number,Gender,Job Role,Marital Status,Over Time,Training Times Last Year,Age,CF_attrition count,CF_attrition rate,CF_current Employee,Daily Rate,Distance From Home,Education,Environment Satisfaction,Hourly Rate,Job Involvement,Job Level,Job Satisfaction,Monthly Income,Monthly Rate,Num Companies Worked,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Standard Hours,Stock Option Level,Total Working Years,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
Yes,Travel_Rarely,35 - 44,Ex-Employees,Sales,Life Sciences,1,Female,Sales Executive,Single,Yes,0,41,1,1,0,1102,1,Associates Degree,2,94,3,2,4,5993,19479,8,11,3,1,80,0,8,1,6,4,0,5
No,Travel_Frequently,45 - 54,Current Employees,R&D,Life Sciences,2,Male,Research Scientist,Married,No,3,49,0,0,1,279,8,High School,3,61,2,2,2,5130,24907,1,23,4,4,80,1,10,3,10,7,1,7
Yes,Travel_Rarely,35 - 44,Ex-Employees,R&D,Other,4,Male,Laboratory Technician,Single,Yes,3,37,1,1,0,1373,2,Associates Degree,4,92,2,1,3,2090,2396,6,15,3,2,80,0,7,3,0,0,0,0
No,Travel_Frequently,25 - 34,Current Employees,R&D,Life Sciences,5,Female,Research Scientist,Married,Yes,3,33,0,0,1,1392,3,Master's Degree,4,56,3,1,3,2909,23159,1,11,3,3,80,0,8,3,8,7,3,0
No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,7,Male,Laboratory Technician,Married,No,3,27,0,0,1,591,2,High School,1,40,3,1,2,3468,16632,9,12,3,4,80,1,6,3,2,2,2,2
No,Travel_Frequently,25 - 34,Current Employees,R&D,Life Sciences,8,Male,Laboratory Technician,Single,No,2,32,0,0,1,1005,2,Associates Degree,4,79,3,1,2,3068,11864,0,13,3,3,80,0,8,2,7,7,3,6
No,Travel_Rarely,Over 55,Current Employees,R&D,Medical,10,Female,Laboratory Technician,Married,Yes,3,59,0,0,1,1324,3,Bachelor's Degree,3,81,4,1,4,2670,9964,4,20,4,1,80,3,12,2,1,0,0,0
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,11,Male,Laboratory Technician,Divorced,No,2,30,0,0,1,1358,24,High School,4,67,3,1,2,2693,13335,1,22,4,2,80,1,1,3,1,0,0,0
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,12,Male,Manufacturing Director,Single,No,2,38,0,0,1,216,23,Bachelor's Degree,4,44,2,3,2,9526,8787,0,21,4,2,80,0,10,3,9,7,1,8
No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,13,Male,Healthcare Representative,Married,No,3,36,0,0,1,1299,27,Bachelor's Degree,3,94,3,2,3,5237,16577,6,13,3,2,80,2,17,2,7,7,7,7
No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,14,Male,Laboratory Technician,Married,No,5,35,0,0,1,809,16,Bachelor's Degree,1,84,4,1,2,2426,16479,0,13,3,3,80,1,6,3,5,4,0,3
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,15,Female,Laboratory Technician,Single,Yes,3,29,0,0,1,153,15,Associates Degree,4,49,2,2,2,4193,12682,0,12,3,4,80,0,10,3,9,5,0,8
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,16,Male,Research Scientist,Divorced,No,1,31,0,0,1,670,26,High School,1,31,3,1,2,2911,15170,1,17,3,4,80,1,5,2,5,2,4,3
No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,18,Male,Laboratory Technician,Divorced,No,2,34,0,0,1,1346,19,Associates Degree,2,93,3,1,4,2661,8758,0,11,3,3,80,1,3,3,2,2,1,2
Yes,Travel_Rarely,25 - 34,Ex-Employees,R&D,Life Sciences,19,Male,Laboratory Technician,Single,Yes,4,28,1,1,0,103,24,Bachelor's Degree,3,50,2,1,2,2028,12947,5,14,3,2,80,0,6,3,4,2,0,3
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,20,Female,Manufacturing Director,Divorced,No,1,29,0,0,1,1389,21,Master's Degree,2,51,4,3,2,9980,10195,1,11,3,3,80,1,10,3,10,9,8,8
